#{"t_start": 1671732235.1091685, "env_id": null}
r,l,t
1.0,311,355.291116
1.0,416,355.678476
1.0,328,356.238461
1.0,59,357.210546
0.0,751,358.190747
1.0,457,359.431759
1.0,179,359.464032
0.0,465,359.56172
1.0,141,360.279871
0.0,27,360.438814
0.0,6,360.641136
1.0,68,361.642457
0.0,178,362.030887
0.0,16,362.547127
1.0,102,362.776847
0.0,11,363.135706
0.0,434,363.272831
1.0,424,363.562767
0.0,201,364.820719
1.0,421,365.050576
1.0,651,365.50453
1.0,528,365.565494
1.0,55,366.596137
1.0,40,367.899224
1.0,228,368.126858
0.0,10,368.452704
0.0,264,368.933505
1.0,119,369.41905
0.0,252,369.910994
1.0,409,370.588951
0.0,23,370.657503
1.0,230,371.018209
1.0,545,371.281026
1.0,317,372.937025
1.0,113,373.093051
0.0,314,373.422962
1.0,115,375.020934
1.0,195,375.269279
1.0,390,375.912796
0.0,4,376.048424
1.0,56,376.835195
0.0,118,377.253076
0.0,5,377.419392
0.0,23,378.165247
1.0,57,378.689368
0.0,426,379.336994
1.0,200,379.435495
0.0,29,379.63073
1.0,20,379.99454
0.0,15,380.473221
0.0,1001,380.774779
1.0,88,381.035437
0.0,11,381.134443
0.0,5,381.202336
0.0,17,381.745676
0.0,215,382.267844
1.0,542,382.657954
0.0,16,382.786796
0.0,5,382.818515
0.0,78,383.655345
1.0,433,384.669412
1.0,152,385.424223
0.0,57,385.52764
0.0,1001,386.377974
0.0,64,387.487399
0.0,1001,387.683259
0.0,93,387.683345
0.0,622,388.664983
1.0,89,389.262873
1.0,241,389.592037
1.0,53,390.41155
1.0,609,390.475968
0.0,31,391.414962
0.0,32,391.51391
0.0,92,392.598873
1.0,7,392.828479
0.0,4,392.961048
0.0,31,393.971211
1.0,811,394.299186
1.0,725,394.635969
1.0,4,394.763386
1.0,238,395.290525
0.0,307,395.551092
0.0,495,395.775309
0.0,32,395.893625
1.0,52,396.090669
1.0,18,396.47888
0.0,33,396.942839
0.0,10,397.274652
1.0,165,399.484123
1.0,147,400.206581
1.0,530,400.242438
1.0,119,400.400079
0.0,11,400.565361
0.0,397,400.791732
1.0,359,401.113085
1.0,389,421.780571
0.0,18,422.250219
1.0,190,422.935115
0.0,1001,423.065388
1.0,927,423.501338
0.0,363,424.482033
1.0,57,424.514473
1.0,9,424.802227
1.0,783,425.411906
1.0,117,425.59912
1.0,255,425.66258
1.0,53,427.254721
0.0,312,427.288715
1.0,470,428.307434
1.0,93,428.593404
0.0,1001,429.042755
0.0,168,430.717271
0.0,254,431.44936
1.0,7,431.673595
1.0,161,433.714355
1.0,161,434.161391
1.0,801,434.47098
1.0,126,434.732035
0.0,1001,437.095867
1.0,106,437.495858
1.0,16,437.592038
1.0,27,438.346838
1.0,488,439.932252
0.0,191,440.506748
1.0,124,441.507484
0.0,8,441.761897
1.0,755,442.172164
0.0,13,442.579774
0.0,347,442.642745
1.0,144,442.899829
0.0,18,443.218589
0.0,38,443.722611
1.0,70,443.879255
0.0,7,443.906748
1.0,44,444.203849
0.0,31,445.002093
1.0,329,445.165267
0.0,1001,446.345794
1.0,136,447.641094
0.0,6,447.835224
1.0,942,447.907284
1.0,31,448.877031
0.0,683,449.077537
1.0,283,449.077635
0.0,8,449.144824
0.0,1001,449.638671
1.0,507,449.968644
1.0,30,450.065449
0.0,852,452.05156
0.0,84,452.373234
1.0,80,452.673073
0.0,10,452.703199
0.0,237,452.935974
0.0,12,453.061307
1.0,150,453.991246
1.0,38,454.318668
1.0,50,454.579011
1.0,9,454.618941
0.0,1001,454.944038
1.0,845,455.421489
1.0,36,456.066149
1.0,342,456.166944
1.0,50,456.199315
0.0,64,456.635311
0.0,230,457.446931
1.0,65,457.550714
0.0,38,457.883144
0.0,15,458.367439
1.0,291,458.627661
1.0,19,459.262438
0.0,1001,459.487503
1.0,48,461.067341
0.0,451,461.107309
1.0,70,461.566032
0.0,4,461.698976
1.0,32,462.12334
0.0,46,463.202833
1.0,700,463.299493
1.0,418,465.730954
0.0,408,466.064423
1.0,93,466.359156
1.0,281,466.78853
1.0,451,468.783027
1.0,391,469.050191
1.0,357,469.208313
1.0,89,469.729119
1.0,117,469.92095
0.0,35,470.355233
0.0,25,470.547114
1.0,140,470.982745
0.0,104,472.20758
1.0,10,472.525212
1.0,30,473.502476
0.0,910,473.867163
1.0,121,473.897839
0.0,4,473.998625
1.0,18,474.584285
1.0,433,475.335039
0.0,1001,477.146672
1.0,127,478.825151
1.0,55,479.021833
0.0,513,479.053279
1.0,325,479.773085
1.0,674,480.587923
0.0,1001,480.822422
1.0,39,481.055887
1.0,782,481.838772
1.0,40,481.900439
0.0,16,482.429648
1.0,593,482.763457
0.0,10,482.763543
1.0,209,485.652313
0.0,958,505.344714
1.0,527,505.502131
1.0,7,505.728183
0.0,9,506.022746
0.0,302,506.511264
1.0,436,507.288562
1.0,532,508.904824
1.0,53,510.497714
0.0,677,510.591665
1.0,346,511.416684
1.0,422,511.948829
1.0,219,512.86789
0.0,508,514.891603
0.0,1001,515.797979
1.0,157,516.375193
1.0,199,516.787694
1.0,43,517.162899
